Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0033957958221435547
14,11,8,8,0,15.0,15.0,37.5,85.0,7.0,0.029939889907836914
28,9,14,8,0,18.0,18.0,31.5,89.0,6.0,0.0926511287689209
42,20,12,13,1,26.0,26.8,78.5,169.0,13.0,0.29454994201660156
56,29,17,9,1,14.0,15.2,47.5,133.0,11.0,0.5830872058868408
70,17,13,14,1,24.0,25.2,88.5,167.0,12.0,0.24297785758972168
84,15,15,16,0,32.0,32.0,63.0,184.0,12.0,0.20232605934143066
98,16,17,11,1,22.0,23.9,55.0,150.0,9.0,0.2042560577392578
112,15,16,7,0,12.0,12.0,31.0,77.0,5.0,0.1721038818359375
126,15,17,15,1,31.0,32.5,144.5,188.0,12.0,0.3114049434661865
140,20,18,19,0,34.0,34.0,109.0,207.0,14.0,0.5168938636779785
154,25,16,12,0,28.0,28.0,56.5,144.0,12.0,0.5489609241485596
168,26,16,8,0,13.0,13.0,42.0,92.0,8.0,0.9769489765167236
182,22,17,5,2,15.0,18.0,68.0,101.0,9.0,0.4394850730895996
196,26,16,14,0,23.0,23.0,69.0,144.0,12.0,0.7891871929168701
210,20,18,12,1,32.0,32.1,52.5,162.0,13.0,0.5435130596160889
224,19,16,15,0,26.0,26.0,58.5,177.0,14.0,0.24703168869018555
238,26,14,20,3,42.0,44.4,124.5,281.0,17.0,0.7605361938476562
252,17,18,8,1,14.0,14.1,52.0,117.0,9.0,0.5896933078765869
266,19,15,7,1,12.0,13.899999999999999,60.0,94.0,8.0,0.35118722915649414
280,16,13,7,0,15.0,15.0,16.5,79.0,7.0,0.2189619541168213
294,24,14,16,1,28.0,28.8,78.0,189.0,18.0,0.6450629234313965
