Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM,Registration Date,Leaving Date
0,"['Physical Education', 'English', 'Economics']","[3, 4, 4]",3,False,4,1,N,3,M,1,0,3.0,6,21
1,['Chemistry'],[4],1,False,10,1,N,1,N,0,1,0.0,174,193
2,"['Maths', 'English', 'Literature', 'Physical Education', 'Economics']","[2, 3, 3, 2, 4]",0,False,9,1,N,3,N,0,1,0.0,56,70
3,"['Chemistry', 'Art']","[4, 5]",3,False,5,0,N,0,N,0,1,0.0,244,261
4,"['Literature', 'History', 'Physics', 'Maths']","[4, 5, 2, 3]",0,True,7,1,N,0,N,0,1,0.0,14,31
5,['Chemistry'],[5],3,False,2,0,N,0,N,0,1,0.0,262,283
6,['Biology'],[4],0,False,5,1,N,3,N,0,1,0.0,98,117
7,"['Economics', 'Foreign Language', 'Science', 'History']","[2, 5, 5, 2]",3,False,6,0,1,0,N,0,1,0.0,104,119
8,"['Literature', 'Maths']","[5, 2]",0,True,6,3,1,0,N,0,1,0.0,256,275
9,['Physics'],[2],3,True,2,0,N,1,N,0,1,0.0,196,212
10,['Economics'],[2],3,False,4,1,1,0,N,0,1,0.0,210,229
11,['Foreign Language'],[2],0,False,5,1,1,1,N,0,1,0.0,36,50
12,"['Maths', 'Biology', 'Foreign Language', 'Music', 'English']","[3, 5, 5, 5, 5]",1,True,10,1,N,0,N,0,1,0.0,24,38
13,"['Chemistry', 'Physics']","[4, 5]",0,False,3,1,1,3,N,0,1,0.0,288,302
14,['Economics'],[4],3,False,6,1,N,0,N,0,1,0.0,44,65
15,"['Maths', 'Science']","[2, 2]",0,True,3,0,0,1,N,0,1,0.0,218,232
16,['Art'],[3],0,True,5,0,N,3,N,0,1,0.0,108,129
17,['Geography'],[3],1,True,3,1,N,0,N,0,1,0.0,4,22
18,['Science'],[5],3,True,2,0,N,1,N,0,1,0.0,156,171
19,"['English', 'Physical Education']","[4, 4]",0,True,1,0,2,3,N,0,1,0.0,278,294
20,"['Literature', 'Computer Science']","[4, 3]",0,True,4,3,N,3,N,0,1,0.0,64,80
21,"['Economics', 'Geography', 'Physics', 'Literature', 'Music']","[4, 4, 4, 2, 5]",1,False,7,1,0,0,N,0,1,0.0,296,312
22,"['Biology', 'Art', 'Physical Education', 'History']","[5, 2, 4, 2]",0,False,5,0,N,3,S,1,0,4.5,116,131
23,['History'],[4],1,False,3,1,N,0,N,0,1,0.0,10,26
24,['Literature'],[2],1,True,10,0,1,3,N,0,1,0.0,18,35
25,"['Geography', 'History', 'Literature']","[4, 2, 2]",0,True,2,1,N,0,N,0,1,0.0,222,240
26,"['Literature', 'Physical Education']","[5, 2]",3,False,4,3,N,3,N,0,1,0.0,162,177
27,"['Science', 'Biology', 'Computer Science', 'Art']","[3, 5, 3, 3]",0,False,4,0,N,0,N,0,1,0.0,252,268
28,"['Art', 'Literature', 'Maths', 'Chemistry']","[4, 2, 3, 2]",0,True,7,1,N,1,N,0,1,0.0,92,107
29,['Physical Education'],[2],0,True,3,1,N,3,N,0,1,0.0,120,139
30,['Economics'],[3],3,False,1,1,0,0,N,0,1,0.0,192,206
31,"['Physical Education', 'History']","[2, 3]",1,False,3,0,N,3,W,1,3,1.5,102,118
32,"['Art', 'History']","[2, 2]",1,False,6,0,1,0,N,0,1,0.0,30,50
33,"['History', 'Foreign Language', 'Economics']","[4, 5, 5]",0,False,6,3,1,0,N,0,1,0.0,12,27
34,"['Maths', 'English']","[2, 3]",1,False,3,0,N,3,N,0,1,0.0,122,139
35,"['Economics', 'Maths']","[4, 3]",1,False,4,3,1,0,N,0,1,0.0,142,160
36,"['Physics', 'Science']","[5, 5]",3,True,4,1,N,0,N,0,1,0.0,150,167
37,['Economics'],[5],1,True,2,0,N,3,N,0,1,0.0,38,56
38,"['Music', 'Geography', 'History']","[5, 3, 2]",1,False,1,0,N,0,N,0,1,0.0,42,61
39,['Geography'],[5],3,True,1,0,N,1,N,0,1,0.0,148,164
40,['Music'],[3],0,True,6,1,0,1,S,1,0,4.5,28,42
41,"['Maths', 'English']","[4, 3]",3,True,2,0,1,3,N,0,1,0.0,78,93
