Student ID,School,Class,Subjects,Time Required,Grades,Social Disadvantage,Accepts Group,Home Help,Equipment,Year,Not Enough Help at Home,Weak student,Critical Year,Matriculation,Registration Date,Leaving Date
0,School S3,B,"['Maths', 'Physical Education']","[1, 3]","[0, 1]",1,False,2,0,9,1.0,1,0,N,289,302
1,School Y6,B,"['Foreign Language', 'Maths', 'History', 'English']","[2, 3, 4, 3]","[2, 5, 0, 2]",0,False,2,0,5,1.0,1,0,N,212,225
2,School S4,E,"['Physical Education', 'Maths', 'Foreign Language']","[1, 1, 2]","[0, 0, 1]",0,True,1,0,7,0.5,3,0,N,298,309
3,School L,B,['Maths'],[1],[2],3,True,2,0,10,0.5,1,0,N,200,215
4,School G5,A,['Geography'],[2],[5],1,True,1,0,4,0.5,1,0,N,259,275
5,School C6,E,"['English', 'Foreign Language', 'Maths', 'Physical Education']","[1, 3, 3, 2]","[3, 1, 5, 0]",0,False,1,0,5,0.5,0,0,N,192,206
6,School G2,C,['Physical Education'],[2],[3],0,True,0,0,12,1.0,2,2,advanced,100,113
7,School E6,E,"['English', 'Physical Education', 'Maths', 'History']","[3, 2, 3, 2]","[2, 3, 2, 2]",2,True,2,0,5,0.5,0,0,N,11,26
8,School M7,A,['English'],[2],[1],0,True,1,0,8,0.5,3,0,N,42,56
9,School N2,D,['English'],[2],[4],0,True,2,0,12,0.5,0,2,advanced,268,280
10,School D3,E,['Physical Education'],[2],[0],0,True,1,0,10,2.0,0,0,N,176,190
11,School G1,B,"['History', 'Economics']","[3, 2]","[2, 0]",2,False,1,0,11,0.5,2,1,advanced,233,249
12,School N5,D,['Physical Education'],[2],[5],0,False,2,0,8,0.5,1,0,N,1,12
13,School B5,D,['History'],[3],[0],0,True,1,0,6,2.0,0,0,N,136,149
14,School L2,A,"['English', 'Physical Education']","[3, 1]","[2, 2]",0,False,2,0,9,1.0,1,0,N,239,254
15,School H4,E,"['Physical Education', 'Literature']","[2, 3]","[2, 1]",0,False,2,0,9,3.0,0,0,N,234,249
16,School O7,C,"['Maths', 'History']","[2, 1]","[2, 2]",0,False,2,0,11,0.5,0,1,N,225,241
17,School S6,B,['English'],[1],[0],0,True,2,0,7,1.0,0,0,N,245,258
18,School S2,A,['Maths'],[3],[2],0,True,2,0,8,1.0,0,0,N,254,268
19,School Z5,B,['Foreign Language'],[2],[4],0,True,1,0,6,1.0,0,0,N,147,161
20,School H4,E,"['Physical Education', 'Maths']","[1, 4]","[3, 0]",3,True,0,0,10,0.5,0,0,N,193,205
21,School T4,E,['History'],[3],[1],0,True,2,0,6,0.5,0,0,N,221,234
22,School L4,E,['English'],[2],[0],0,True,2,0,12,0.5,1,2,advanced,136,147
23,School M,B,"['Literature', 'Physical Education', 'English', 'Maths']","[3, 1, 2, 4]","[0, 0, 4, 2]",0,True,2,0,9,0.5,0,0,N,235,252
24,School R3,B,['English'],[3],[3],0,False,2,0,12,1.5,0,2,advanced,70,85
25,School U4,C,['English'],[1],[2],0,False,2,0,8,1.0,0,0,N,198,212
26,School Z6,B,['Maths'],[2],[4],2,True,0,0,9,0.5,1,0,N,224,235
27,School E3,D,"['Maths', 'History', 'Science']","[4, 3, 3]","[0, 5, 3]",0,False,2,0,10,0.5,0,0,N,212,223
28,School Y5,C,"['English', 'History']","[1, 2]","[3, 3]",0,True,0,0,10,0.5,2,0,N,168,179
29,School X2,D,"['Computer Science', 'Maths']","[4, 3]","[3, 5]",0,True,2,0,12,1.0,1,2,advanced,5,15
