Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.004336118698120117
1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.004538297653198242
2,2,2,2,0,2.0,2.0,16.5,23.0,2.0,0.01050710678100586
3,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.009772062301635742
4,4,3,1,0,2.0,2.0,7.0,13.0,1.0,0.0169980525970459
5,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.015892982482910156
6,6,4,2,0,5.0,5.0,34.0,23.0,1.0,0.029762983322143555
7,8,4,2,0,4.0,4.0,4.0,26.0,2.0,0.04431509971618652
8,9,5,3,0,7.0,7.0,13.5,29.0,3.0,0.0879359245300293
9,9,5,0,0,0.0,0.0,0.0,0.0,0.0,0.08100605010986328
10,13,6,3,0,5.0,5.0,9.5,36.0,3.0,0.11822724342346191
11,14,6,0,0,0.0,0.0,0.0,0.0,0.0,0.15212178230285645
12,15,7,1,0,2.0,2.0,2.0,12.0,1.0,0.15189480781555176
13,15,7,0,0,0.0,0.0,0.0,0.0,0.0,0.16953587532043457
14,17,8,1,0,1.0,1.0,2.5,13.0,1.0,0.23361515998840332
15,17,8,0,0,0.0,0.0,0.0,0.0,0.0,0.2307720184326172
16,17,9,0,0,0.0,0.0,0.0,0.0,0.0,0.24313902854919434
17,18,9,0,0,0.0,0.0,0.0,0.0,0.0,0.266038179397583
18,19,10,2,0,4.0,4.0,7.5,24.0,2.0,0.3586721420288086
19,20,10,0,0,0.0,0.0,0.0,0.0,0.0,0.3539130687713623
20,21,11,4,1,7.0,7.8,19.5,68.0,5.0,0.4887430667877197
21,22,11,1,0,1.0,1.0,4.0,12.0,1.0,0.5215480327606201
22,23,12,0,0,0.0,0.0,0.0,0.0,0.0,0.5186049938201904
23,23,12,0,0,0.0,0.0,0.0,0.0,0.0,0.5431289672851562
