Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM,Registration Date,Leaving Date
0,['Art'],[5],1,True,3,0,0,0,N,0,1,0.0,246,267
1,"['Geography', 'Economics', 'History']","[2, 3, 5]",0,False,4,3,N,3,N,0,1,0.0,216,234
2,['Physical Education'],[4],3,False,1,1,1,1,N,0,1,0.0,174,195
3,"['Science', 'English']","[5, 2]",1,False,3,1,0,3,S,1,0,4.5,292,306
4,['Art'],[4],1,False,1,1,1,1,S,1,0,4.5,170,190
5,"['Biology', 'English', 'Science', 'Literature']","[5, 5, 5, 2]",1,False,6,1,N,3,N,0,1,0.0,44,58
6,"['Science', 'Physical Education']","[2, 5]",3,False,1,1,2,3,N,0,1,0.0,120,137
7,"['Music', 'English']","[4, 5]",1,True,4,0,2,1,N,0,1,0.0,80,100
8,"['History', 'Economics', 'English', 'Physics', 'Literature']","[3, 2, 2, 5, 5]",3,False,9,0,N,3,W,1,3,1.5,264,282
9,"['Music', 'Chemistry', 'Physical Education', 'Biology']","[3, 3, 2, 2]",0,True,6,0,N,3,N,0,1,0.0,168,183
10,"['Music', 'Chemistry', 'History']","[5, 2, 5]",0,False,4,0,N,0,N,0,1,0.0,126,147
11,"['Geography', 'Chemistry', 'Music']","[3, 2, 3]",0,True,3,1,2,1,N,0,1,0.0,54,70
12,"['Biology', 'Chemistry', 'Geography']","[5, 5, 3]",0,True,1,3,N,0,N,0,1,0.0,140,161
13,"['Geography', 'Biology', 'Physics']","[2, 3, 3]",0,False,4,1,N,0,N,0,1,0.0,100,119
14,"['English', 'Foreign Language', 'Computer Science', 'History']","[3, 3, 5, 2]",3,True,5,0,N,0,N,0,1,0.0,2,20
15,"['Computer Science', 'Biology', 'Geography', 'Foreign Language']","[2, 5, 5, 4]",0,False,5,3,N,0,N,0,1,0.0,158,174
16,"['Geography', 'Economics', 'Physical Education']","[5, 2, 2]",3,False,4,0,N,1,N,0,1,0.0,274,294
17,"['Economics', 'Science']","[4, 3]",3,False,1,0,N,0,M,1,0,3.0,208,225
18,"['Science', 'Economics', 'Physical Education']","[3, 5, 5]",0,True,4,1,1,0,W,1,3,1.5,76,96
19,"['Literature', 'Economics', 'Biology']","[2, 5, 2]",1,False,4,1,N,3,N,0,1,0.0,56,77
20,"['Foreign Language', 'Art', 'Music']","[5, 5, 4]",3,False,4,1,N,0,N,0,1,0.0,154,173
21,"['Computer Science', 'Music', 'Physical Education']","[3, 2, 4]",1,False,5,1,2,0,N,0,1,0.0,212,229
22,"['Maths', 'Economics', 'Physical Education']","[3, 2, 5]",0,False,4,0,N,0,N,0,1,0.0,164,185
23,"['English', 'Literature', 'Biology']","[4, 4, 4]",3,False,1,1,N,0,N,0,1,0.0,148,167
24,"['Science', 'Art']","[5, 5]",1,True,4,0,N,3,N,0,1,0.0,40,56
25,"['Economics', 'Biology']","[5, 2]",3,False,9,3,N,1,N,0,1,0.0,124,143
26,"['Music', 'English', 'Physics', 'Economics', 'Geography']","[3, 4, 2, 5, 2]",1,False,9,1,N,0,N,0,1,0.0,166,182
27,"['History', 'Art', 'Physics', 'Geography']","[3, 3, 5, 2]",1,True,5,1,N,0,W,1,3,1.5,152,173
28,"['Physical Education', 'Biology', 'Art']","[2, 3, 4]",1,False,4,0,N,0,N,0,1,0.0,0,19
29,"['Physical Education', 'Maths', 'English']","[4, 2, 2]",3,True,3,0,N,0,N,0,1,0.0,8,25
30,['Physics'],[2],0,True,3,1,N,1,N,0,1,0.0,18,33
31,['Economics'],[2],3,False,4,0,0,1,N,0,1,0.0,92,109
32,"['Music', 'English']","[5, 3]",0,False,4,0,1,0,N,0,1,0.0,176,190
33,"['Economics', 'Biology', 'Music']","[4, 5, 5]",0,False,4,0,2,1,N,0,1,0.0,180,194
34,['Chemistry'],[4],1,True,4,0,2,1,N,0,1,0.0,30,47
35,['Biology'],[4],1,True,1,1,2,0,N,0,1,0.0,294,314
36,['Foreign Language'],[5],0,True,4,1,N,3,N,0,1,0.0,162,183
37,"['Economics', 'Computer Science']","[3, 5]",0,True,6,3,0,0,N,0,1,0.0,28,46
38,"['Literature', 'Maths']","[4, 5]",0,False,4,0,N,3,N,0,1,0.0,116,132
39,['Geography'],[2],0,False,1,0,N,3,N,0,1,0.0,296,312
40,"['Physics', 'English', 'History']","[5, 4, 4]",0,False,1,0,1,0,N,0,1,0.0,258,273
41,"['History', 'Maths']","[2, 3]",3,False,2,0,2,3,N,0,1,0.0,284,305
42,"['Maths', 'Chemistry']","[4, 2]",3,False,7,0,1,1,N,0,1,0.0,72,92
43,"['Art', 'Chemistry', 'Economics', 'Biology']","[2, 4, 2, 2]",1,False,5,0,2,0,N,0,1,0.0,94,110
44,"['Literature', 'History', 'Computer Science']","[4, 3, 2]",0,True,1,1,N,0,N,0,1,0.0,184,200
45,"['English', 'Music', 'Physical Education']","[5, 5, 4]",1,True,6,1,1,1,N,0,1,0.0,14,34
46,"['Chemistry', 'Economics', 'Science', 'English']","[3, 2, 2, 5]",3,False,6,1,N,3,N,0,1,0.0,68,88
47,"['Art', 'Economics', 'Geography', 'Literature', 'English']","[5, 5, 5, 2, 3]",1,True,7,1,N,3,N,0,1,0.0,202,220
48,['Chemistry'],[2],3,False,5,0,1,3,S,1,0,4.5,278,293
49,"['English', 'Economics', 'Science']","[4, 2, 5]",1,True,2,0,2,3,N,0,1,0.0,204,221
50,"['Biology', 'Geography']","[3, 5]",0,False,3,1,N,1,N,0,1,0.0,82,101
51,"['Art', 'Chemistry', 'Geography', 'Economics']","[2, 3, 2, 2]",0,False,6,1,N,3,N,0,1,0.0,252,266
52,['English'],[2],3,True,3,1,1,3,N,0,1,0.0,254,273
53,"['Chemistry', 'Economics', 'Art']","[3, 4, 4]",3,True,5,0,N,0,N,0,1,0.0,188,202
54,"['Chemistry', 'Maths', 'Literature', 'Biology', 'Geography']","[2, 3, 3, 3, 2]",3,False,9,1,0,1,N,0,1,0.0,50,68
55,"['Computer Science', 'History', 'Literature']","[3, 3, 5]",3,True,5,3,1,1,N,0,1,0.0,132,147
56,"['History', 'Physics', 'Music']","[2, 2, 3]",0,True,2,0,N,1,N,0,1,0.0,128,148
57,['Science'],[4],1,True,1,0,2,0,N,0,1,0.0,58,73
58,"['Literature', 'Maths']","[3, 3]",3,True,2,0,N,1,S,1,0,4.5,146,160
59,"['Science', 'Maths']","[3, 5]",3,True,2,0,N,1,N,0,1,0.0,142,163
60,"['Geography', 'Literature', 'Science']","[2, 5, 4]",0,False,3,1,N,3,N,0,1,0.0,200,214
61,['Computer Science'],[3],0,True,2,0,1,3,N,0,1,0.0,112,127
