Student ID,School,Class,Subjects,Time Required,Grades,Social Disadvantage,Accepts Group,Home Help,Equipment,Year,Not Enough Help at Home,Weak student,Critical Year,Matriculation,Registration Date,Leaving Date
0,School S4,C,"['Foreign Language', 'Maths', 'Physical Education']","[1, 2, 1]","[0, 1, 2]",0,True,2,0,6,1.0,3,0,N,206,220
1,School R6,E,"['English', 'Maths']","[1, 3]","[0, 2]",3,False,1,0,6,0.5,1,0,N,226,240
2,School H4,A,"['Maths', 'Physical Education', 'Computer Science']","[3, 2, 1]","[3, 3, 3]",0,False,1,0,8,3.0,0,0,N,55,72
3,School P6,E,"['English', 'History']","[2, 3]","[2, 3]",0,True,0,0,10,0.5,1,0,N,241,255
4,School J3,B,"['History', 'English']","[3, 2]","[1, 4]",2,False,1,0,8,1.0,0,0,N,228,243
5,School A2,C,"['Maths', 'Literature', 'Physical Education', 'English']","[1, 2, 2, 2]","[2, 4, 5, 4]",0,True,0,0,9,0.5,0,0,N,294,311
6,School K,C,['Foreign Language'],[3],[0],3,True,2,0,7,2.0,2,0,N,118,132
7,School T,B,"['History', 'Maths']","[2, 2]","[5, 1]",0,False,1,0,10,1.0,1,0,N,231,243
8,School O3,E,"['Science', 'Physical Education']","[1, 1]","[3, 3]",1,False,1,0,10,1.0,0,0,N,224,235
9,School M2,D,['Physical Education'],[2],[2],0,True,2,0,10,2.0,2,0,N,158,172
10,School I4,C,"['Physical Education', 'Foreign Language']","[3, 3]","[2, 1]",1,True,0,0,5,1.0,0,0,N,182,196
11,School M6,D,['Physical Education'],[2],[5],0,True,2,0,7,0.5,2,0,N,47,62
12,School L4,D,"['Physical Education', 'History', 'Maths']","[4, 2, 2]","[3, 1, 5]",0,True,0,0,5,0.5,0,0,N,38,53
13,School O7,D,"['Physical Education', 'Maths']","[2, 2]","[3, 2]",0,False,1,0,8,0.5,0,0,N,206,222
14,School W3,C,['Physical Education'],[1],[5],0,False,0,0,9,0.5,0,0,N,70,81
15,School S3,B,"['English', 'Maths']","[2, 2]","[1, 1]",2,True,2,0,6,0.5,0,0,N,272,287
16,School Y6,C,"['English', 'Literature']","[1, 2]","[3, 4]",0,False,0,0,9,1.0,0,0,N,217,233
17,School V3,B,['Geography'],[1],[3],0,False,2,0,4,1.0,0,0,N,67,81
18,School E3,D,"['Maths', 'Foreign Language', 'History']","[2, 3, 3]","[5, 4, 4]",0,False,1,0,5,0.5,1,0,N,285,302
19,School R3,E,['History'],[2],[4],0,False,0,0,5,1.0,0,0,N,253,265
20,School A4,D,"['English', 'Maths']","[2, 1]","[2, 3]",2,True,1,0,10,0.5,1,0,N,267,281
21,School K3,C,['Physical Education'],[3],[4],0,True,1,0,11,0.5,0,1,N,288,300
22,School F2,B,['English'],[2],[0],0,True,1,0,9,0.5,0,0,N,2,15
23,School L1,A,"['History', 'Maths']","[3, 2]","[0, 4]",0,True,0,0,10,1.0,0,0,N,272,285
24,School G1,B,"['History', 'Maths']","[2, 3]","[5, 1]",1,True,0,0,6,0.5,0,0,N,3,18
25,School S,B,"['Physical Education', 'History']","[3, 4]","[4, 3]",0,True,0,0,9,3.0,3,0,N,262,274
26,School E3,A,"['English', 'Maths', 'History', 'Science']","[1, 3, 1, 3]","[2, 2, 2, 0]",0,False,0,0,10,0.5,3,0,N,63,78
27,School S5,D,"['Maths', 'Foreign Language']","[4, 3]","[0, 2]",3,True,1,0,5,0.5,0,0,N,179,195
