Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 7,1,"[68, 44]",3.0
35,Art - Year 4,5,"[19, 2]",2.0
35,Geography - Year 4,3,"[72, 59]",2.0
6,Geography - Year 4,3,"[2, 57]",2.0
8,Computer Science - Year 8,3,"[63, 64]",3.0
10,Geography - Year 4,4,"[12, 60]",2.0
12,English - Year 4,5,"[59, 60]",3.0
15,Physical Education - Year 6,1,"[3, 40]",2.0
15,Physical Education - Year 9,2,"[27, 25]",2.0
21,Maths - Year 8,2,"[70, 56]",2.0
22,Maths - Year 8,5,"[63, 24]",2.0
23,Physical Education - Year 12,5,"[76, 26]",2.0
24,Computer Science - Year 12,3,"[47, 77]",2.0
26,Geography - Year 4,5,"[75, 32]",2.0
27,History - Year 12,5,"[11, 35]",2.0
28,Physical Education - Year 9,3,"[18, 46]",2.0
28,Physical Education - Year 8,5,"[63, 61]",3.0
31,Physical Education - Year 6,3,"[16, 6]",2.0
31,Computer Science - Year 8,5,"[61, 56]",2.0
31,Physical Education - Year 8,3,"[64, 56]",2.0
