Student,Mentor,Subject,Hours
27,17,Maths - Year 12,1.0
48,9,Art - Year 4,2.0
69,36,Foreign Language - Year 6,3.0
55,16,Science - Year 4,3.0
68,14,Geography - Year 4,3.0
20,9,Art - Year 4,3.0
11,32,English - Year 9,3.0
15,20,Geography - Year 4,3.0
50,17,Maths - Year 7,3.0
21,35,Computer Science - Year 8,1.0
54,32,English - Year 11,2.0
37,32,English - Year 11,1.0
52,4,Literature - Year 9,2.0
1,5,Economics - Year 11,3.0
13,29,Science - Year 4,2.0
16,37,History - Year 12,1.0
8,22,Maths - Year 11,1.0
71,0,Foreign Language - Year 7,3.0
63,36,Literature - Year 9,1.0
65,7,English - Year 12,1.0
28,25,Geography - Year 4,1.0
30,27,History - Year 8,1.0
62,38,Art - Year 4,2.0
19,37,History - Year 12,3.0
66,36,Literature - Year 9,3.0
19,19,English - Year 12,1.0
5,0,Foreign Language - Year 7,2.0
30,29,Computer Science - Year 8,3.0
26,1,Physical Education - Year 12,3.0
46,6,Geography - Year 4,2.0
49,18,Economics - Year 11,2.0
4,1,Physical Education - Year 8,3.0
10,16,Science - Year 4,1.0
23,36,Literature - Year 9,2.0
73,9,Art - Year 4,3.0
1,19,English - Year 11,2.0
