Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM
0,['Foreign Language'],[5],0,False,9,1,N,3,S,1,0,4.5
1,"['Geography', 'Chemistry', 'Physical Education']","[2, 3, 4]",0,False,6,0,1,3,N,0,1,0.0
2,"['Economics', 'Music', 'Maths']","[3, 5, 3]",3,True,3,0,1,1,N,0,1,0.0
3,"['Chemistry', 'Literature']","[4, 5]",3,False,4,1,0,0,N,0,1,0.0
4,"['Literature', 'Biology']","[2, 4]",3,False,2,1,0,3,N,0,1,0.0
5,['Economics'],[5],3,False,4,0,N,0,N,0,1,0.0
6,['Geography'],[5],0,True,2,1,0,3,N,0,1,0.0
7,"['English', 'Economics']","[5, 5]",1,False,1,0,N,3,N,0,1,0.0
8,['Computer Science'],[2],1,True,3,1,N,1,N,0,1,0.0
9,['Art'],[3],0,False,8,0,N,3,N,0,1,0.0
10,"['Geography', 'Physical Education']","[5, 2]",3,True,2,0,N,1,N,0,1,0.0
11,"['Physics', 'Foreign Language']","[4, 2]",3,False,10,3,N,3,N,0,1,0.0
12,['English'],[3],0,True,3,0,N,3,N,0,1,0.0
13,['Biology'],[5],1,True,4,3,N,0,N,0,1,0.0
14,['Geography'],[3],0,False,3,0,N,1,N,0,1,0.0
15,"['Physical Education', 'Literature', 'Maths', 'Physics']","[5, 5, 3, 4]",1,True,4,1,N,3,N,0,1,0.0
16,"['Science', 'Economics']","[2, 5]",0,False,4,0,2,1,N,0,1,0.0
17,"['Foreign Language', 'Maths', 'Science', 'Art']","[4, 3, 5, 3]",1,False,4,0,N,0,N,0,1,0.0
18,"['Foreign Language', 'Economics']","[3, 4]",0,False,2,1,1,1,N,0,1,0.0
19,"['English', 'Economics']","[2, 3]",1,False,3,1,N,1,N,0,1,0.0
20,"['Geography', 'Physics']","[3, 5]",1,False,3,3,N,3,N,0,1,0.0
21,"['Maths', 'Chemistry']","[5, 3]",0,True,2,1,N,3,N,0,1,0.0
22,"['Maths', 'Chemistry', 'Science']","[2, 3, 2]",0,True,3,0,N,0,N,0,1,0.0
23,"['Foreign Language', 'Literature', 'Physical Education']","[4, 2, 3]",1,True,2,1,N,0,N,0,1,0.0
24,['Computer Science'],[2],3,True,2,0,2,0,S,1,0,4.5
25,"['Music', 'Geography']","[4, 5]",3,False,5,1,0,3,N,0,1,0.0
26,"['Geography', 'Maths']","[4, 2]",0,True,2,0,N,0,N,0,1,0.0
27,"['Physics', 'History']","[4, 3]",0,True,3,1,N,0,N,0,1,0.0
28,"['Maths', 'Physical Education', 'Literature', 'Biology']","[2, 2, 5, 5]",3,True,5,0,N,3,N,0,1,0.0
29,"['Science', 'Economics', 'Computer Science', 'Chemistry']","[2, 4, 3, 5]",3,False,5,0,N,0,S,1,0,4.5
30,['Art'],[4],3,False,3,0,1,0,N,0,1,0.0
31,"['Physical Education', 'Computer Science', 'Art', 'Economics']","[4, 3, 5, 3]",3,True,6,3,N,1,N,0,1,0.0
32,"['Chemistry', 'Art', 'English']","[5, 4, 2]",3,False,6,1,N,0,M,1,0,3.0
33,['Physics'],[3],1,False,5,1,2,1,N,0,1,0.0
34,"['Literature', 'Economics', 'Maths']","[4, 5, 3]",3,True,7,0,2,1,N,0,1,0.0
35,"['Geography', 'Art', 'Computer Science', 'Biology']","[4, 5, 3, 2]",0,True,4,0,N,1,N,0,1,0.0
36,"['Foreign Language', 'Geography', 'Chemistry', 'Literature', 'Music']","[5, 4, 3, 5, 2]",1,False,10,3,N,0,N,0,1,0.0
37,"['Economics', 'Geography', 'History']","[5, 2, 5]",1,False,4,1,N,1,W,1,3,1.5
38,"['Geography', 'Art', 'Physics']","[2, 4, 5]",3,False,6,1,1,1,N,0,1,0.0
39,['Foreign Language'],[4],0,True,1,0,1,0,N,0,1,0.0
