Student ID,School,Class,Subjects,Time Required,Grades,Social Disadvantage,Accepts Group,Home Help,Equipment,Year,Not Enough Help at Home,Weak student,Critical Year,Matriculation
0,School W,E,['Physical Education'],[4],[3],1,True,2,0,8,0.5,0,0,N
1,School W,A,"['English', 'Geography']","[2, 1]","[0, 3]",0,False,1,0,4,1.0,1,0,N
2,School E,D,"['Maths', 'Art']","[1, 3]","[3, 5]",2,True,2,0,4,0.5,2,0,N
3,School J,A,"['English', 'History', 'Literature']","[2, 2, 1]","[4, 5, 1]",1,True,1,0,9,1.0,0,0,N
4,School P,E,['Maths'],[4],[1],0,False,1,0,7,0.5,1,0,N
5,School Y,B,"['English', 'Maths']","[1, 3]","[5, 1]",1,True,1,0,11,1.0,1,1,basic
6,School V,C,"['Foreign Language', 'Maths']","[3, 3]","[4, 2]",1,True,2,0,7,0.5,0,0,N
7,School I,C,['Art'],[3],[3],0,True,2,0,4,0.5,1,0,N
8,School U1,E,['History'],[2],[1],0,True,2,0,12,1.0,2,2,advanced
9,School L,D,"['Physical Education', 'Maths', 'Foreign Language']","[1, 4, 1]","[0, 2, 0]",2,False,1,0,5,1.5,1,0,N
10,School F,C,['Physical Education'],[2],[0],0,True,1,0,6,0.5,1,0,N
11,School O,A,"['Physical Education', 'History']","[2, 3]","[4, 1]",0,True,0,0,11,1.0,1,1,N
12,School C1,E,"['History', 'Physical Education', 'Maths', 'English']","[3, 2, 1, 2]","[1, 2, 0, 4]",0,False,2,0,5,1.0,0,0,N
13,School F1,E,"['History', 'Maths', 'Foreign Language']","[1, 2, 4]","[4, 0, 5]",0,True,1,0,5,1.0,1,0,N
14,School U,C,['Physical Education'],[1],[4],0,False,1,0,11,1.0,1,1,advanced
15,School E1,B,['History'],[3],[0],0,False,2,0,12,0.5,0,2,advanced
16,School H,B,"['History', 'English']","[4, 1]","[4, 3]",1,True,1,0,6,0.5,1,0,N
17,School K1,C,"['Physical Education', 'English', 'Maths', 'History']","[2, 3, 1, 3]","[0, 0, 0, 2]",1,False,2,0,6,0.5,0,0,N
18,School U,C,"['Physical Education', 'English', 'History', 'Maths']","[1, 1, 2, 4]","[5, 5, 0, 1]",0,True,0,0,6,1.0,1,0,N
19,School E1,B,"['Foreign Language', 'History', 'Physical Education', 'English']","[3, 2, 3, 2]","[5, 3, 1, 4]",0,True,0,0,6,1.0,2,0,N
20,School E1,A,['Art'],[3],[2],0,False,2,0,4,0.5,0,0,N
21,School M,E,['Geography'],[1],[2],0,False,2,0,4,0.5,0,0,N
22,School A1,C,"['English', 'Physical Education']","[2, 2]","[4, 3]",0,True,2,0,9,1.0,1,0,N
23,School Q,E,"['Science', 'Geography', 'Art', 'English']","[1, 4, 1, 1]","[0, 1, 5, 5]",2,True,2,0,4,1.0,0,0,N
24,School E,A,['Literature'],[4],[2],1,True,2,0,9,0.5,1,0,N
25,School O,A,['Foreign Language'],[1],[5],0,True,0,0,7,0.5,1,0,N
26,School E,C,['Maths'],[4],[2],0,False,0,0,9,0.5,3,0,N
27,School F,E,"['History', 'Physical Education', 'Foreign Language']","[2, 1, 3]","[4, 5, 3]",0,True,2,0,6,3.0,0,0,N
28,School M1,E,['English'],[1],[4],0,True,0,0,6,1.0,3,0,N
29,School S,A,['Art'],[1],[4],0,False,1,0,4,0.5,1,0,N
