Iterazione,Tutor ID,Capacità Massima,Ore Assegnate,Percentuale Utilizzo
1,0,9,5.0,55.55555555555556
1,1,6,6.0,100.0
1,2,3,3.0,100.0
1,3,4,3.0,75.0
1,4,2,2.0,100.0
1,5,4,4.0,100.0
1,6,2,2.0,100.0
1,7,1,1.0,100.0
1,8,3,2.0,66.66666666666666
1,9,8,5.0,62.5
1,10,2,2.0,100.0
1,11,10,10.0,100.0
1,12,3,3.0,100.0
1,13,4,0.0,0.0
1,14,3,0.0,0.0
1,15,4,4.0,100.0
1,16,4,4.0,100.0
1,17,4,4.0,100.0
1,18,2,2.0,100.0
1,19,3,3.0,100.0
1,20,3,3.0,100.0
1,21,2,2.0,100.0
1,22,3,3.0,100.0
1,23,2,2.0,100.0
1,24,2,0.0,0.0
1,25,5,3.0,60.0
1,26,2,2.0,100.0
1,27,3,3.0,100.0
1,28,5,5.0,100.0
1,29,5,5.0,100.0
1,30,3,0.0,0.0
1,31,6,6.0,100.0
1,32,6,6.0,100.0
1,33,5,0.0,0.0
1,34,7,7.0,100.0
1,35,4,4.0,100.0
1,36,10,10.0,100.0
1,37,4,4.0,100.0
1,38,6,2.0,33.33333333333333
1,39,1,1.0,100.0
2,0,9,4.0,44.44444444444444
2,1,6,6.0,100.0
2,2,3,3.0,100.0
2,3,4,3.0,75.0
2,4,2,0.0,0.0
2,5,4,4.0,100.0
2,6,2,2.0,100.0
2,7,1,1.0,100.0
2,8,3,3.0,100.0
2,9,8,7.0,87.5
2,10,2,2.0,100.0
2,11,10,7.0,70.0
2,12,3,3.0,100.0
2,13,4,0.0,0.0
2,14,3,0.0,0.0
2,15,4,4.0,100.0
2,16,4,4.0,100.0
2,17,4,4.0,100.0
2,18,2,2.0,100.0
2,19,3,3.0,100.0
2,20,3,3.0,100.0
2,21,2,2.0,100.0
2,22,3,3.0,100.0
2,23,2,2.0,100.0
2,24,2,2.0,100.0
2,25,5,0.0,0.0
2,26,2,2.0,100.0
2,27,3,3.0,100.0
2,28,5,5.0,100.0
2,29,5,5.0,100.0
2,30,3,0.0,0.0
2,31,6,6.0,100.0
2,32,6,6.0,100.0
2,33,5,0.0,0.0
2,34,7,7.0,100.0
2,35,4,4.0,100.0
2,36,10,10.0,100.0
2,37,4,4.0,100.0
2,38,6,0.0,0.0
2,39,1,1.0,100.0
3,0,9,8.0,88.88888888888889
3,1,6,6.0,100.0
3,2,3,3.0,100.0
3,3,4,0.0,0.0
3,4,2,0.0,0.0
3,5,4,4.0,100.0
3,6,2,1.0,50.0
3,7,1,1.0,100.0
3,8,3,3.0,100.0
3,9,8,4.0,50.0
3,10,2,2.0,100.0
3,11,10,10.0,100.0
3,12,3,3.0,100.0
3,13,4,0.0,0.0
3,14,3,0.0,0.0
3,15,4,4.0,100.0
3,16,4,4.0,100.0
3,17,4,4.0,100.0
3,18,2,2.0,100.0
3,19,3,3.0,100.0
3,20,3,3.0,100.0
3,21,2,2.0,100.0
3,22,3,3.0,100.0
3,23,2,2.0,100.0
3,24,2,2.0,100.0
3,25,5,0.0,0.0
3,26,2,2.0,100.0
3,27,3,3.0,100.0
3,28,5,5.0,100.0
3,29,5,5.0,100.0
3,30,3,0.0,0.0
3,31,6,6.0,100.0
3,32,6,6.0,100.0
3,33,5,0.0,0.0
3,34,7,7.0,100.0
