Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM
0,"['Chemistry', 'Art']","[5, 3]",0,True,4,0,N,3,S,1,0,4.5
1,['Foreign Language'],[4],3,True,2,0,N,1,N,0,1,0.0
2,"['English', 'History', 'Maths', 'Computer Science', 'Art']","[5, 4, 2, 4, 5]",1,True,7,1,N,0,N,0,1,0.0
3,"['Foreign Language', 'Physics']","[3, 2]",1,True,3,0,N,3,N,0,1,0.0
4,"['Art', 'History', 'Foreign Language']","[3, 4, 4]",1,True,4,1,1,3,N,0,1,0.0
5,"['Economics', 'History', 'Literature']","[2, 2, 3]",3,True,2,0,N,1,N,0,1,0.0
6,"['Geography', 'Foreign Language']","[5, 4]",1,True,5,1,1,3,N,0,1,0.0
7,"['Physical Education', 'Physics', 'Computer Science']","[4, 3, 4]",1,True,1,0,N,3,M,1,0,3.0
8,"['Physical Education', 'Foreign Language', 'Art']","[3, 2, 5]",3,True,5,0,N,3,N,0,1,0.0
9,['Foreign Language'],[3],1,True,2,1,N,0,N,0,1,0.0
10,['Chemistry'],[3],0,True,2,1,1,0,W,1,3,1.5
11,['Foreign Language'],[3],1,True,9,1,N,1,N,0,1,0.0
12,"['Physics', 'History']","[2, 3]",0,True,3,0,N,0,N,0,1,0.0
13,['History'],[3],3,True,5,1,N,3,N,0,1,0.0
14,['Art'],[5],3,True,8,3,1,0,W,1,3,1.5
15,"['Maths', 'Physics']","[3, 2]",1,True,3,1,N,0,N,0,1,0.0
16,"['Economics', 'Geography']","[5, 5]",1,True,1,0,1,3,N,0,1,0.0
17,"['Physical Education', 'Music', 'Economics', 'Literature']","[4, 3, 4, 3]",3,True,4,1,2,3,N,0,1,0.0
18,"['Chemistry', 'Science']","[2, 3]",1,True,5,1,N,1,N,0,1,0.0
19,"['English', 'Economics', 'Art']","[3, 3, 5]",0,True,1,3,N,0,N,0,1,0.0
20,"['Physical Education', 'Chemistry', 'Economics', 'History']","[2, 3, 4, 4]",3,True,5,1,N,0,N,0,1,0.0
21,"['Music', 'Chemistry', 'Biology', 'Physics']","[5, 2, 4, 4]",0,True,7,1,1,3,S,1,0,4.5
22,"['Biology', 'Science', 'English']","[5, 3, 4]",3,True,10,1,1,0,N,0,1,0.0
23,"['Computer Science', 'English', 'Music']","[2, 5, 3]",3,True,3,0,0,3,N,0,1,0.0
24,"['Science', 'Physical Education']","[5, 4]",3,True,7,1,N,0,N,0,1,0.0
25,"['Geography', 'Computer Science', 'Economics']","[5, 3, 3]",3,True,8,3,N,3,N,0,1,0.0
26,"['Music', 'Art', 'Geography']","[2, 4, 5]",0,True,5,1,N,0,N,0,1,0.0
27,['Literature'],[3],3,True,5,1,2,0,N,0,1,0.0
28,"['Physical Education', 'Music']","[5, 5]",0,True,4,0,1,3,N,0,1,0.0
29,"['Science', 'English', 'Biology', 'Maths']","[3, 4, 2, 4]",1,True,4,1,1,3,N,0,1,0.0
30,"['History', 'Physical Education', 'Science', 'Computer Science']","[4, 2, 2, 5]",0,True,9,3,1,1,N,0,1,0.0
31,"['Music', 'Literature', 'Art']","[3, 5, 3]",3,True,3,1,N,3,N,0,1,0.0
32,"['Geography', 'Computer Science']","[3, 4]",3,True,5,1,N,0,N,0,1,0.0
33,['Literature'],[5],3,True,1,0,N,1,N,0,1,0.0
34,"['Computer Science', 'Physics', 'Physical Education']","[2, 4, 5]",3,True,10,0,1,0,N,0,1,0.0
35,['Maths'],[2],0,True,10,1,N,1,N,0,1,0.0
36,['Physical Education'],[2],1,True,6,0,0,3,N,0,1,0.0
37,"['Geography', 'English', 'Chemistry']","[4, 5, 4]",3,True,7,0,N,0,N,0,1,0.0
38,['Music'],[3],3,True,7,0,2,0,N,0,1,0.0
39,"['Biology', 'Maths']","[2, 4]",0,True,6,0,N,1,M,1,0,3.0
40,"['Maths', 'Biology', 'Foreign Language']","[3, 4, 2]",1,True,6,3,N,1,N,0,1,0.0
41,['Science'],[3],3,True,5,1,1,0,N,0,1,0.0
42,"['Biology', 'Physical Education', 'Foreign Language', 'Literature']","[4, 4, 4, 3]",3,True,4,1,N,3,N,0,1,0.0
43,"['Chemistry', 'Foreign Language', 'English']","[2, 3, 2]",0,True,6,1,2,1,N,0,1,0.0
44,"['Music', 'Maths', 'Literature']","[4, 2, 4]",3,True,3,0,1,0,N,0,1,0.0
45,"['Music', 'Geography']","[2, 3]",1,True,6,0,2,3,N,0,1,0.0
46,"['Literature', 'Geography']","[4, 5]",3,True,6,0,2,1,N,0,1,0.0
47,"['Chemistry', 'Science', 'Maths']","[3, 3, 2]",3,True,6,1,1,3,N,0,1,0.0
48,"['Art', 'Biology', 'History']","[4, 2, 4]",1,True,1,3,N,1,N,0,1,0.0
49,"['Literature', 'Foreign Language']","[4, 3]",0,True,4,0,1,0,N,0,1,0.0
