iteration,num_groups,num_individual_tutoring,execution_time,student_to_tutor_ratio
1,7,2,8.982182025909424,95:5
2,10,1,15.191804885864258,95:5
3,12,0,10.990131139755249,95:5
4,13,0,15.590688943862915,95:5
5,7,0,12.130541801452637,95:5
6,8,1,8.084266185760498,95:5
7,7,3,8.925239086151123,95:5
8,8,2,12.741533279418945,95:5
9,7,1,8.3363618850708,95:5
10,10,1,9.150939226150513,95:5
1,22,1,27.831081867218018,90:10
2,9,3,16.574152946472168,90:10
3,20,2,28.492207050323486,90:10
4,13,4,13.665898084640503,90:10
5,19,1,25.574208974838257,90:10
6,13,4,19.51164698600769,90:10
7,11,2,18.543723106384277,90:10
8,22,2,35.43573522567749,90:10
9,19,1,19.570158004760742,90:10
10,16,2,28.48288106918335,90:10
1,29,8,62.32001996040344,75:25
2,35,9,57.38655471801758,75:25
3,36,11,49.081421852111816,75:25
4,28,9,277.39345812797546,75:25
5,32,14,51.87322807312012,75:25
6,32,6,48.28693103790283,75:25
7,33,15,85.78880381584167,75:25
8,32,9,40.64382719993591,75:25
9,34,16,65.65034890174866,75:25
10,33,8,59.72060680389404,75:25
1,30,23,60.493359088897705,60:40
2,33,29,62.86662006378174,60:40
3,36,30,159.257221698761,60:40
4,38,12,63.80195689201355,60:40
5,34,23,79.49364280700684,60:40
6,32,28,52.353458881378174,60:40
7,38,27,80.14720320701599,60:40
8,24,29,59.121297121047974,60:40
9,33,24,69.26826000213623,60:40
10,26,43,55.74144506454468,60:40
1,24,32,35.50103402137756,50:50
2,15,47,45.1356098651886,50:50
3,22,42,63.97413992881775,50:50
4,14,50,62.29244899749756,50:50
5,28,31,143.83225297927856,50:50
6,27,40,119.45540809631348,50:50
7,36,34,85.47459268569946,50:50
8,18,46,74.76111483573914,50:50
9,25,37,44.43253135681152,50:50
10,25,46,62.26746106147766,50:50
1,14,33,25.226621866226196,40:60
2,12,45,28.409743785858154,40:60
3,18,38,33.9173150062561,40:60
4,5,49,22.857898950576782,40:60
5,10,55,44.527191162109375,40:60
6,9,46,27.686826944351196,40:60
7,15,44,31.75909399986267,40:60
8,13,48,28.456316232681274,40:60
9,21,40,27.8787100315094,40:60
10,14,41,34.350029945373535,40:60
1,3,34,10.45174503326416,25:75
2,6,36,13.590413808822632,25:75
3,5,30,11.84009599685669,25:75
4,3,38,11.44674801826477,25:75
5,6,35,12.299257278442383,25:75
6,5,42,11.56983995437622,25:75
7,3,35,10.628429651260376,25:75
8,5,41,11.127417087554932,25:75
9,2,34,11.800044775009155,25:75
10,6,39,21.378156900405884,25:75
1,0,17,1.9197070598602295,10:90
2,1,15,2.2207419872283936,10:90
3,0,12,1.9871532917022705,10:90
4,0,14,2.1461939811706543,10:90
5,0,19,2.108659029006958,10:90
6,1,14,2.3665270805358887,10:90
7,0,17,2.2297000885009766,10:90
8,0,21,2.167052745819092,10:90
9,0,11,2.223602771759033,10:90
10,1,16,2.533320903778076,10:90
1,0,10,0.6920771598815918,5:95
2,0,7,0.7826790809631348,5:95
3,0,10,0.8175249099731445,5:95
4,0,8,0.7801337242126465,5:95
5,0,11,0.8028550148010254,5:95
6,0,10,0.7383458614349365,5:95
7,0,9,0.7343940734863281,5:95
8,0,6,0.7229776382446289,5:95
9,0,10,0.8034722805023193,5:95
10,0,8,0.7264842987060547,5:95
