Mentor,Subject,Group Number,Students,Total Hours
0,English - Year 7,1,"[48, 10]",2.0
0,English - Year 7,3,"[64, 40]",2.0
1,Maths - Year 10,5,"[4, 67]",2.0
1,Maths - Year 4,1,"[20, 70]",2.0
6,Physical Education - Year 5,5,"[46, 57]",2.0
7,Science - Year 4,4,"[21, 22]",3.0
8,Maths - Year 9,3,"[36, 76]",2.0
8,Maths - Year 9,4,"[62, 53]",2.0
11,Literature - Year 9,4,"[51, 62]",3.0
14,History - Year 9,4,"[31, 62]",2.0
14,History - Year 9,5,"[78, 53]",2.0
15,English - Year 9,4,"[36, 38]",2.0
24,Physical Education - Year 8,3,"[79, 45]",2.0
25,Art - Year 4,1,"[47, 32]",3.0
28,English - Year 4,4,"[32, 20]",2.0
30,History - Year 7,5,"[68, 30]",2.0
31,Physical Education - Year 10,1,"[7, 56]",3.0
31,Physical Education - Year 11,4,"[0, 50]",2.0
32,Science - Year 4,3,"[23, 32]",3.0
33,English - Year 9,5,"[62, 53]",2.0
34,Physical Education - Year 10,3,"[37, 67]",3.0
34,Physical Education - Year 9,1,"[53, 78]",2.0
35,Science - Year 10,1,"[11, 7]",3.0
36,Science - Year 10,2,"[67, 37]",3.0
39,Maths - Year 5,3,"[46, 44]",2.0
