Student,Mentor,Subject,Hours
68,33,Foreign Language - Year 7,1.0
62,7,English - Year 6,1.0
69,10,Physical Education - Year 12,1.0
59,36,English - Year 7,2.0
72,30,Foreign Language - Year 5,2.0
76,31,Computer Science - Year 8,1.0
75,33,Foreign Language - Year 7,2.0
29,14,English - Year 4,2.0
47,31,History - Year 9,3.0
33,4,History - Year 12,1.0
28,6,English - Year 12,3.0
65,19,Maths - Year 10,3.0
47,19,Maths - Year 9,2.0
23,14,English - Year 4,3.0
10,23,English - Year 8,3.0
33,19,Maths - Year 12,1.0
42,4,History - Year 9,1.0
13,35,Maths - Year 8,2.0
56,1,Foreign Language - Year 7,3.0
57,15,Computer Science - Year 12,2.0
48,27,Art - Year 4,3.0
22,4,History - Year 8,1.0
0,31,History - Year 10,3.0
75,2,Physical Education - Year 7,1.0
3,4,History - Year 11,1.0
24,30,Foreign Language - Year 7,1.0
77,21,History - Year 6,2.0
79,33,Foreign Language - Year 5,2.0
50,18,History - Year 10,3.0
14,2,Physical Education - Year 7,2.0
66,22,Maths - Year 8,3.0
23,27,Science - Year 4,2.0
38,26,Computer Science - Year 8,3.0
52,21,History - Year 12,2.0
47,29,English - Year 9,2.0
34,23,English - Year 7,3.0
26,1,Foreign Language - Year 5,1.0
17,30,Foreign Language - Year 6,1.0
55,21,History - Year 9,3.0
11,32,Physical Education - Year 11,3.0
15,27,Science - Year 10,1.0
55,29,English - Year 9,3.0
45,24,History - Year 11,1.0
75,2,English - Year 7,2.0
58,32,Physical Education - Year 6,1.0
53,37,Economics - Year 11,2.0
54,35,Maths - Year 4,1.0
7,4,History - Year 11,3.0
65,23,English - Year 10,1.0
79,17,Maths - Year 5,1.0
47,19,Physical Education - Year 9,1.0
55,13,Literature - Year 9,3.0
31,18,History - Year 5,1.0
77,32,Physical Education - Year 6,3.0
63,35,Maths - Year 6,2.0
24,34,Maths - Year 7,2.0
0,9,Science - Year 10,3.0
73,18,History - Year 7,3.0
32,35,Maths - Year 5,2.0
58,34,Maths - Year 6,3.0
1,26,Computer Science - Year 8,2.0
8,2,English - Year 7,2.0
59,36,History - Year 7,2.0
9,11,Geography - Year 4,3.0
26,36,English - Year 5,3.0
9,1,Art - Year 4,3.0
19,26,Computer Science - Year 8,2.0
51,29,English - Year 10,2.0
12,37,Literature - Year 9,1.0
