Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM
0,['Physics'],[2],0,True,7,1,N,0,N,0,1,0.0
1,"['Art', 'Chemistry', 'Foreign Language', 'Biology']","[3, 3, 4, 4]",1,False,7,1,N,3,N,0,1,0.0
2,"['Art', 'Geography', 'Physical Education', 'Literature', 'English']","[4, 4, 3, 3, 3]",1,False,7,1,1,0,S,1,0,4.5
3,"['Biology', 'Economics']","[5, 2]",1,True,7,0,N,1,N,0,1,0.0
4,"['History', 'Economics', 'Maths', 'Chemistry', 'Art']","[5, 4, 2, 4, 4]",1,False,7,3,2,3,N,0,1,0.0
5,"['History', 'Literature']","[5, 5]",0,True,7,0,N,3,N,0,1,0.0
6,"['Chemistry', 'English', 'Art', 'Music']","[4, 4, 5, 5]",1,True,7,0,2,3,N,0,1,0.0
7,"['Biology', 'Chemistry', 'English']","[2, 2, 2]",1,True,7,1,N,1,N,0,1,0.0
8,"['Art', 'Physics']","[2, 4]",3,True,7,0,2,1,N,0,1,0.0
9,['Science'],[5],3,True,7,0,1,0,N,0,1,0.0
10,"['Geography', 'Physical Education']","[4, 5]",0,True,7,3,N,0,N,0,1,0.0
11,['Geography'],[2],1,False,7,1,N,0,N,0,1,0.0
12,"['Music', 'Geography', 'Literature']","[5, 3, 2]",3,True,7,0,2,3,N,0,1,0.0
13,['Literature'],[5],3,False,7,0,N,1,N,0,1,0.0
14,['English'],[3],3,True,7,1,0,3,N,0,1,0.0
15,"['Physics', 'Computer Science', 'Maths', 'Foreign Language', 'History']","[2, 5, 4, 3, 4]",0,True,7,0,2,0,N,0,1,0.0
16,"['Art', 'Music', 'Chemistry', 'Foreign Language']","[3, 2, 2, 4]",0,True,7,0,2,3,N,0,1,0.0
17,"['Maths', 'Foreign Language', 'Music', 'Computer Science', 'Physics']","[5, 2, 2, 2, 3]",0,True,7,0,N,3,N,0,1,0.0
18,"['Art', 'History']","[2, 5]",3,False,7,1,1,0,N,0,1,0.0
19,"['Maths', 'Geography', 'Art', 'Literature', 'Physical Education']","[3, 3, 5, 4, 3]",3,False,7,0,2,1,N,0,1,0.0
20,"['Chemistry', 'Economics', 'Science']","[3, 3, 3]",1,True,7,0,0,1,M,1,0,3.0
21,"['Physics', 'History', 'Foreign Language', 'Music']","[5, 3, 2, 5]",1,False,7,0,N,1,N,0,1,0.0
22,"['Geography', 'Maths', 'Literature']","[2, 2, 3]",3,True,7,1,N,0,N,0,1,0.0
23,"['Literature', 'Chemistry', 'Music', 'Geography', 'English']","[3, 5, 5, 2, 5]",0,False,7,0,N,3,N,0,1,0.0
24,"['Biology', 'Science', 'History']","[3, 5, 3]",0,True,7,0,2,0,N,0,1,0.0
25,"['Chemistry', 'Physics', 'Geography', 'Biology']","[3, 4, 2, 2]",0,False,7,0,N,0,N,0,1,0.0
26,"['Biology', 'Maths', 'Computer Science', 'Literature', 'Physical Education']","[5, 4, 5, 5, 5]",3,False,7,3,1,1,S,1,0,4.5
27,"['Science', 'Art']","[3, 3]",1,False,7,3,2,3,S,1,0,4.5
28,"['Physical Education', 'Chemistry', 'Biology', 'Computer Science']","[2, 2, 2, 3]",0,True,7,1,N,1,N,0,1,0.0
29,"['Science', 'English', 'Art']","[3, 2, 5]",1,False,7,1,2,3,N,0,1,0.0
30,"['Music', 'Foreign Language']","[5, 5]",3,True,7,0,2,3,N,0,1,0.0
31,"['History', 'Computer Science', 'Chemistry', 'Biology', 'Foreign Language']","[2, 5, 3, 4, 3]",0,False,7,0,N,0,N,0,1,0.0
32,"['Physics', 'Physical Education', 'Foreign Language', 'Science']","[4, 5, 5, 3]",3,False,7,0,N,0,N,0,1,0.0
33,"['Biology', 'Foreign Language', 'Literature', 'Economics']","[4, 4, 3, 3]",1,True,7,1,N,1,N,0,1,0.0
34,"['Maths', 'Literature', 'Science']","[3, 5, 3]",3,True,7,0,1,1,N,0,1,0.0
35,"['Music', 'Maths', 'Economics', 'Geography']","[3, 5, 4, 2]",1,True,7,0,0,3,N,0,1,0.0
36,"['English', 'Art', 'Maths', 'History', 'Music']","[3, 2, 3, 4, 2]",1,False,7,1,1,3,N,0,1,0.0
37,"['Literature', 'Economics']","[5, 5]",0,False,7,1,1,3,N,0,1,0.0
38,"['Literature', 'Economics', 'Biology']","[5, 2, 4]",0,True,7,1,1,3,N,0,1,0.0
39,"['Geography', 'Physics']","[5, 4]",0,True,7,1,N,0,N,0,1,0.0
