Iterazione,Valore Obiettivo,Tempo Esecuzione,Time Capacity,Volume,Number of Pairs and Groups,Number of Students Allocated,Number of Pairs,Number of Groups,Number of Paired Mentoring Hours,Number of Group Mentoring Hours,Capacità Utilizzata per Tutor
1,24222.449999999968,54.55042290687561,10,372.79999999999995,137.80000000000007,80.0,86.0,74.0,181.0,274.0,"{0: 54.0, 1: 10.0, 2: 0.0, 3: 36.0, 4: 50.0, 5: 20.0, 6: 34.0, 7: 80.0, 8: 52.0, 9: 0.0, 10: 31.0, 11: 80.0, 12: 80.0, 13: 50.0, 14: 0.0, 15: 80.0, 16: 10.0, 17: 40.0, 18: 80.0, 19: 10.0, 20: 100.0, 21: 40.0, 22: 0.0, 23: 20.0, 24: 0.0, 25: 46.0, 26: 0.0, 27: 106.0, 28: 0.0, 29: 65.0, 30: 80.0, 31: 0.0, 32: 9.0, 33: 22.0, 34: 0.0, 35: 18.0, 36: 40.0, 37: 10.0, 38: 100.0, 39: 68.0}"
2,19944.050000000007,19.245200157165527,9,304.29999999999995,120.79999999999998,79.0,90.0,44.0,193.0,159.0,"{0: 99.0, 1: 0.0, 2: 33.0, 3: 54.0, 4: 72.0, 5: 45.0, 6: 69.0, 7: 57.0, 8: 64.0, 9: 0.0, 10: 25.0, 11: 54.0, 12: 45.0, 13: 16.0, 14: 54.0, 15: 14.0, 16: 0.0, 17: 20.0, 18: 21.0, 19: 39.0, 20: 33.0, 21: 45.0, 22: 24.0, 23: 33.0, 24: 41.0, 25: 39.0, 26: 99.0, 27: 0.0, 28: 30.0, 29: 27.0, 30: 9.0, 31: 99.0, 32: 20.0, 33: 81.0, 34: 21.0, 35: 0.0, 36: 60.0, 37: 13.0, 38: 0.0, 39: 87.0}"
3,21273.65,27.263622283935547,8,330.5,125.20000000000002,80.0,86.0,56.0,194.0,195.0,"{0: 72.0, 1: 0.0, 2: 41.0, 3: 40.0, 4: 72.0, 5: 12.0, 6: 24.0, 7: 85.0, 8: 76.0, 9: 12.0, 10: 40.0, 11: 16.0, 12: 0.0, 13: 72.0, 14: 80.0, 15: 28.0, 16: 77.0, 17: 60.0, 18: 72.0, 19: 26.0, 20: 79.0, 21: 0.0, 22: 48.0, 23: 40.0, 24: 8.0, 25: 80.0, 26: 8.0, 27: 8.0, 28: 88.0, 29: 76.0, 30: 80.0, 31: 0.0, 32: 0.0, 33: 8.0, 34: 72.0, 35: 72.0, 36: 80.0, 37: 72.0, 38: 56.0, 39: 22.0}"
4,16834.149999999998,24.12103819847107,7,257.60000000000014,104.0,77.0,69.0,50.0,140.0,168.0,"{0: 0.0, 1: 69.0, 2: 46.0, 3: 0.0, 4: 56.0, 5: 7.0, 6: 25.0, 7: 13.0, 8: 0.0, 9: 21.0, 10: 12.0, 11: 30.0, 12: 0.0, 13: 36.0, 14: 37.0, 15: 15.0, 16: 0.0, 17: 15.0, 18: 56.0, 19: 60.0, 20: 0.0, 21: 56.0, 22: 31.0, 23: 49.0, 24: 14.0, 25: 0.0, 26: 35.0, 27: 54.0, 28: 7.0, 29: 49.0, 30: 36.0, 31: 53.0, 32: 42.0, 33: 47.0, 34: 47.0, 35: 63.0, 36: 51.0, 37: 26.0, 38: 0.0, 39: 0.0}"
5,17420.55,29.477962017059326,6,270.3000000000001,104.00000000000003,74.0,62.0,60.0,138.0,189.0,"{0: 25.0, 1: 35.0, 2: 6.0, 3: 56.0, 4: 42.0, 5: 42.0, 6: 84.0, 7: 54.0, 8: 6.0, 9: 3.0, 10: 60.0, 11: 12.0, 12: 42.0, 13: 54.0, 14: 24.0, 15: 0.0, 16: 0.0, 17: 6.0, 18: 60.0, 19: 6.0, 20: 6.0, 21: 15.0, 22: 6.0, 23: 18.0, 24: 30.0, 25: 32.0, 26: 54.0, 27: 36.0, 28: 6.0, 29: 42.0, 30: 0.0, 31: 48.0, 32: 24.0, 33: 0.0, 34: 36.0, 35: 36.0, 36: 6.0, 37: 6.0, 38: 0.0, 39: 24.0}"
6,14321.199999999993,26.525096893310547,5,223.70000000000013,92.0,71.0,57.0,50.0,111.0,161.0,"{0: 12.0, 1: 10.0, 2: 35.0, 3: 40.0, 4: 35.0, 5: 45.0, 6: 23.0, 7: 3.0, 8: 10.0, 9: 46.0, 10: 35.0, 11: 3.0, 12: 11.0, 13: 40.0, 14: 13.0, 15: 26.0, 16: 45.0, 17: 40.0, 18: 39.0, 19: 11.0, 20: 0.0, 21: 34.0, 22: 45.0, 23: 18.0, 24: 23.0, 25: 3.0, 26: 0.0, 27: 45.0, 28: 26.0, 29: 55.0, 30: 29.0, 31: 5.0, 32: 3.0, 33: 26.0, 34: 5.0, 35: 25.0, 36: 29.0, 37: 30.0, 38: 34.0, 39: 20.0}"
7,13221.94999999999,20.91981291770935,4,205.80000000000013,81.39999999999998,62.0,52.0,42.0,98.0,154.0,"{0: 0.0, 1: 15.0, 2: 10.0, 3: 37.0, 4: 28.0, 5: 27.0, 6: 4.0, 7: 42.0, 8: 48.0, 9: 24.0, 10: 20.0, 11: 14.0, 12: 40.0, 13: 14.0, 14: 4.0, 15: 28.0, 16: 9.0, 17: 42.0, 18: 4.0, 19: 40.0, 20: 24.0, 21: 0.0, 22: 40.0, 23: 20.0, 24: 0.0, 25: 37.0, 26: 48.0, 27: 4.0, 28: 15.0, 29: 4.0, 30: 40.0, 31: 4.0, 32: 9.0, 33: 36.0, 34: 4.0, 35: 30.0, 36: 25.0, 37: 9.0, 38: 20.0, 39: 18.0}"
8,8544.749999999998,14.091507196426392,3,128.0,54.39999999999999,49.0,39.0,22.0,72.0,80.0,"{0: 24.0, 1: 8.0, 2: 18.0, 3: 18.0, 4: 18.0, 5: 3.0, 6: 12.0, 7: 10.0, 8: 0.0, 9: 24.0, 10: 3.0, 11: 12.0, 12: 0.0, 13: 24.0, 14: 8.0, 15: 3.0, 16: 0.0, 17: 24.0, 18: 24.0, 19: 18.0, 20: 3.0, 21: 24.0, 22: 0.0, 23: 3.0, 24: 3.0, 25: 21.0, 26: 12.0, 27: 21.0, 28: 9.0, 29: 0.0, 30: 4.0, 31: 24.0, 32: 18.0, 33: 15.0, 34: 18.0, 35: 21.0, 36: 7.0, 37: 24.0, 38: 0.0, 39: 4.0}"
9,8121.949999999999,12.170821189880371,2,123.6000000000001,42.79999999999998,38.0,19.0,34.0,34.0,128.0,"{0: 6.0, 1: 2.0, 2: 14.0, 3: 6.0, 4: 12.0, 5: 2.0, 6: 8.0, 7: 8.0, 8: 0.0, 9: 12.0, 10: 2.0, 11: 2.0, 12: 2.0, 13: 0.0, 14: 2.0, 15: 10.0, 16: 14.0, 17: 0.0, 18: 10.0, 19: 10.0, 20: 14.0, 21: 2.0, 22: 14.0, 23: 12.0, 24: 2.0, 25: 2.0, 26: 0.0, 27: 2.0, 28: 2.0, 29: 2.0, 30: 0.0, 31: 2.0, 32: 8.0, 33: 12.0, 34: 2.0, 35: 10.0, 36: 0.0, 37: 2.0, 38: 2.0, 39: 2.0}"
10,2105.0,11.28892207145691,1,33.0,33.0,28.0,33.0,0.0,33.0,0.0,"{0: 7.0, 1: 4.0, 2: 4.0, 3: 0.0, 4: 0.0, 5: 5.0, 6: 0.0, 7: 7.0, 8: 7.0, 9: 7.0, 10: 4.0, 11: 3.0, 12: 4.0, 13: 5.0, 14: 7.0, 15: 0.0, 16: 0.0, 17: 5.0, 18: 7.0, 19: 7.0, 20: 4.0, 21: 7.0, 22: 0.0, 23: 7.0, 24: 4.0, 25: 4.0, 26: 4.0, 27: 2.0, 28: 5.0, 29: 4.0, 30: 7.0, 31: 5.0, 32: 7.0, 33: 3.0, 34: 0.0, 35: 7.0, 36: 3.0, 37: 5.0, 38: 7.0, 39: 7.0}"
