Student ID,School,Class,Subjects,Time Required,Grades,Social Disadvantage,Accepts Group,Home Help,Equipment,Year,Not Enough Help at Home,Weak student,Critical Year,Matriculation
0,School W1,D,"['Literature', 'Physical Education', 'Maths']","[3, 2, 1]","[2, 0, 3]",1,True,1,0,9,0.5,0,0,N
1,School U1,A,['Foreign Language'],[2],[3],2,False,0,0,5,1.0,0,0,N
2,School B,B,"['Physical Education', 'Literature']","[1, 3]","[3, 2]",0,True,0,0,9,0.5,0,0,N
3,School A2,B,['Geography'],[2],[2],1,True,2,0,4,0.5,0,0,N
4,School O1,B,"['Maths', 'Foreign Language']","[1, 3]","[4, 0]",0,True,0,0,5,0.5,2,0,N
5,School E1,A,['English'],[3],[0],0,True,1,0,9,1.0,0,0,N
6,School C,D,"['Literature', 'English', 'History']","[3, 1, 2]","[1, 4, 3]",1,True,2,0,9,1.0,0,0,N
7,School W1,A,"['Maths', 'Literature']","[1, 3]","[4, 2]",0,True,1,0,9,0.5,0,0,N
8,School D1,C,"['History', 'Computer Science', 'Physical Education', 'English']","[1, 1, 2, 3]","[5, 1, 0, 1]",1,False,0,0,12,2.0,1,2,advanced
9,School J,D,"['Maths', 'English']","[2, 2]","[0, 2]",0,True,1,0,7,0.5,1,0,N
10,School F,B,['History'],[1],[1],0,True,1,0,9,0.5,3,0,N
11,School Z1,A,['Maths'],[1],[2],0,True,1,0,10,1.0,3,0,N
12,School Z1,E,['Maths'],[1],[3],3,False,2,0,5,1.0,1,0,N
13,School R1,E,"['History', 'English', 'Literature']","[2, 1, 1]","[5, 5, 0]",0,False,0,0,9,0.5,0,0,N
14,School S1,C,"['Literature', 'English', 'History', 'Maths']","[2, 1, 4, 2]","[0, 1, 1, 5]",1,True,0,0,9,1.0,1,0,N
15,School J,C,['Maths'],[4],[5],0,False,1,0,9,0.5,1,0,N
16,School B1,A,['Literature'],[1],[5],0,True,0,0,9,1.0,0,0,N
17,School J,D,"['English', 'Maths']","[1, 3]","[2, 1]",0,True,0,0,8,0.5,1,0,N
18,School F,A,['English'],[1],[0],1,True,1,0,4,1.0,2,0,N
19,School U1,B,['History'],[3],[1],0,True,2,0,6,0.5,1,0,N
20,School E,C,['Maths'],[3],[3],0,True,2,0,8,0.5,0,0,N
21,School O1,C,"['Foreign Language', 'Physical Education']","[2, 1]","[1, 5]",3,True,2,0,7,1.0,1,0,N
22,School R1,D,['Physical Education'],[4],[2],0,True,0,0,9,0.5,3,0,N
23,School L,D,"['Physical Education', 'History']","[2, 2]","[4, 2]",0,False,0,0,5,2.0,0,0,N
24,School U1,D,['Science'],[3],[0],0,True,0,0,4,2.0,0,0,N
25,School X1,B,['Science'],[1],[1],0,True,0,0,4,1.0,1,0,N
26,School G1,A,"['Maths', 'Foreign Language']","[1, 3]","[2, 4]",0,False,0,0,5,1.0,1,0,N
27,School O,E,['Economics'],[2],[2],0,False,1,0,11,0.5,1,1,basic
28,School T,A,['English'],[4],[2],0,False,1,0,12,1.0,0,2,advanced
29,School A,C,['Maths'],[1],[2],0,True,0,0,4,1.0,0,0,N
30,School J1,D,"['Maths', 'Physical Education', 'English', 'Foreign Language']","[3, 4, 3, 2]","[5, 1, 5, 0]",1,True,0,0,7,1.0,0,0,N
31,School V1,E,['Maths'],[4],[4],0,True,1,0,6,0.5,0,0,N
32,School X1,C,"['History', 'Physical Education']","[1, 2]","[4, 2]",0,True,0,0,8,1.0,0,0,N
33,School H,A,['English'],[2],[3],0,True,2,0,8,1.0,2,0,N
34,School Z,A,"['Maths', 'English']","[1, 1]","[0, 5]",1,False,1,0,9,0.5,1,0,N
35,School X,B,['English'],[3],[2],1,True,2,0,10,0.5,0,0,N
36,School O1,E,"['Maths', 'Science', 'Geography', 'English']","[2, 2, 1, 2]","[1, 2, 0, 1]",0,True,2,0,4,0.5,1,0,N
37,School X,B,"['Foreign Language', 'Physical Education']","[1, 1]","[3, 4]",0,True,1,0,5,0.5,1,0,N
38,School N1,A,['English'],[1],[0],0,False,0,0,9,0.5,0,0,N
39,School S,D,['English'],[3],[2],0,True,1,0,9,1.0,1,0,N
40,School A1,C,['Foreign Language'],[2],[4],3,True,0,0,7,1.0,0,0,N
41,School Y1,B,"['Literature', 'English']","[3, 1]","[2, 2]",0,False,2,0,9,3.0,1,0,N
42,School G,B,['English'],[1],[0],0,False,2,0,7,0.5,0,0,N
43,School A,B,['Geography'],[1],[5],3,False,0,0,4,1.0,0,0,N
44,School O1,D,['Physical Education'],[2],[4],1,True,0,0,12,1.0,0,2,advanced
45,School Z,C,['History'],[3],[2],0,False,0,0,11,2.0,0,1,N
46,School Q1,E,['Art'],[2],[5],0,True,0,0,4,0.5,1,0,N
47,School Q1,C,"['Computer Science', 'English']","[2, 3]","[4, 2]",2,True,2,0,12,1.0,0,2,advanced
48,School X1,A,"['English', 'Computer Science']","[2, 4]","[0, 2]",0,True,1,0,12,0.5,0,2,advanced
49,School V1,A,['Computer Science'],[3],[5],0,True,1,0,8,2.0,0,0,N
50,School G,D,['Maths'],[1],[0],0,True,0,0,10,2.0,1,0,N
51,School V1,C,['Art'],[1],[5],2,False,0,0,4,0.5,0,0,N
52,School B1,C,"['Maths', 'History']","[2, 1]","[2, 1]",0,True,2,0,9,1.0,1,0,N
53,School T1,D,"['English', 'Maths', 'Physical Education', 'Foreign Language']","[4, 3, 4, 3]","[1, 5, 2, 2]",0,True,2,0,6,0.5,0,0,N
54,School C1,B,"['Maths', 'Physical Education', 'English']","[3, 4, 1]","[4, 3, 5]",0,False,2,0,11,1.0,0,1,advanced
55,School G1,A,['English'],[3],[0],0,False,0,0,9,1.0,0,0,N
56,School N1,E,"['Science', 'Maths']","[1, 2]","[5, 1]",0,True,2,0,10,1.0,0,0,N
57,School Z1,B,"['Maths', 'English', 'Physical Education']","[2, 1, 4]","[2, 5, 2]",0,False,2,0,7,0.5,0,0,N
58,School X,C,"['Foreign Language', 'Physical Education']","[2, 4]","[5, 0]",0,True,2,0,7,1.0,1,0,N
59,School Q,D,"['History', 'Foreign Language']","[2, 2]","[3, 2]",0,False,2,0,5,1.0,3,0,N
60,School M1,D,['English'],[4],[2],0,False,1,0,9,0.5,0,0,N
61,School D,D,"['Art', 'Geography', 'English', 'Science']","[2, 1, 3, 3]","[1, 5, 0, 0]",2,True,0,0,4,0.5,0,0,N
62,School R1,C,['Computer Science'],[3],[5],0,False,1,0,8,0.5,1,0,N
63,School F,D,['History'],[1],[2],0,True,1,0,12,0.5,1,2,advanced
64,School A,E,"['Maths', 'English', 'Computer Science']","[2, 3, 3]","[3, 1, 4]",1,True,0,0,8,1.0,1,0,N
65,School C1,B,['Computer Science'],[2],[1],0,True,2,0,12,0.5,0,2,advanced
66,School F,C,"['English', 'History']","[1, 3]","[0, 3]",0,False,1,0,8,0.5,0,0,N
67,School L1,D,['Science'],[2],[3],1,True,2,0,4,1.0,0,0,N
68,School P,E,"['Maths', 'English']","[4, 1]","[3, 0]",0,True,1,0,4,0.5,1,0,N
69,School F,E,"['English', 'Maths']","[1, 2]","[2, 1]",3,True,1,0,7,1.0,0,0,N
70,School Y,C,"['Physical Education', 'History', 'Maths', 'English']","[2, 1, 2, 1]","[1, 2, 4, 3]",0,True,1,0,11,1.0,1,1,basic
71,School I,D,['History'],[1],[2],0,True,0,0,11,0.5,0,1,N
72,School H1,D,"['History', 'English']","[1, 2]","[3, 0]",0,True,0,0,7,0.5,0,0,N
73,School U,A,"['Maths', 'History', 'Physical Education', 'Computer Science']","[1, 1, 3, 3]","[0, 5, 1, 4]",1,True,2,0,12,1.0,0,2,advanced
74,School J1,D,"['Physical Education', 'Maths']","[2, 4]","[2, 0]",1,True,2,0,10,0.5,0,0,N
75,School N1,A,['Science'],[3],[2],0,True,0,0,10,0.5,2,0,N
76,School H,A,['Computer Science'],[1],[5],0,True,2,0,8,0.5,0,0,N
77,School Q1,C,['Computer Science'],[1],[1],1,False,2,0,8,0.5,0,0,N
78,School K,B,['Maths'],[3],[5],0,True,1,0,11,0.5,1,1,N
79,School N1,D,['Foreign Language'],[2],[3],2,True,1,0,7,1.5,1,0,N
