Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM
0,['History'],[4],3,True,10,0,2,0,W,1,3,1.5
1,['History'],[3],0,True,6,1,N,1,N,0,1,0.0
2,"['Maths', 'Physical Education', 'Economics', 'Science']","[2, 3, 3, 3]",1,True,6,1,N,3,N,0,1,0.0
3,['Computer Science'],[2],1,True,2,0,N,1,N,0,1,0.0
4,['Literature'],[5],1,True,10,0,N,0,N,0,1,0.0
5,"['Economics', 'Chemistry', 'Geography', 'Science']","[4, 2, 2, 4]",3,True,6,0,N,0,N,0,1,0.0
6,"['History', 'Maths']","[2, 4]",0,True,1,1,N,3,N,0,1,0.0
7,"['Foreign Language', 'Biology', 'Music']","[2, 5, 4]",0,True,5,1,N,0,N,0,1,0.0
8,"['Art', 'Foreign Language', 'History', 'Physics']","[4, 4, 2, 5]",0,True,5,1,N,1,N,0,1,0.0
9,['Foreign Language'],[3],1,True,3,0,N,3,N,0,1,0.0
10,"['Physics', 'Computer Science']","[4, 2]",3,True,3,0,N,1,N,0,1,0.0
11,['Literature'],[2],1,True,8,0,1,0,N,0,1,0.0
12,"['Physical Education', 'Biology', 'Foreign Language', 'Computer Science']","[4, 5, 2, 2]",1,True,4,0,N,3,N,0,1,0.0
13,['Physical Education'],[3],3,True,3,3,2,0,S,1,0,4.5
14,"['Foreign Language', 'Maths']","[3, 5]",3,True,5,0,N,1,N,0,1,0.0
15,"['Biology', 'Art', 'History']","[4, 3, 3]",1,True,3,0,N,0,N,0,1,0.0
16,"['Music', 'Literature', 'Chemistry', 'English']","[3, 4, 4, 3]",1,True,6,1,2,3,N,0,1,0.0
17,"['Science', 'Geography', 'Physics', 'Art']","[5, 4, 2, 4]",0,True,5,1,1,1,W,1,3,1.5
18,"['Biology', 'Computer Science']","[3, 2]",1,True,3,1,N,3,N,0,1,0.0
19,"['Music', 'English', 'Biology', 'Computer Science']","[3, 2, 5, 2]",0,True,8,3,N,1,N,0,1,0.0
20,"['Chemistry', 'Maths', 'Foreign Language']","[4, 2, 4]",1,True,2,0,N,1,N,0,1,0.0
21,"['Art', 'Biology', 'History', 'Physical Education']","[5, 4, 4, 4]",3,True,4,0,N,0,N,0,1,0.0
22,"['Computer Science', 'Physics', 'History']","[4, 2, 5]",0,True,6,1,N,3,M,1,0,3.0
23,"['Geography', 'Foreign Language']","[2, 5]",0,True,10,1,N,3,N,0,1,0.0
24,"['Economics', 'History']","[5, 5]",3,True,5,0,N,0,N,0,1,0.0
25,"['Geography', 'Science', 'Physics']","[3, 2, 5]",1,True,2,3,0,0,N,0,1,0.0
26,"['Foreign Language', 'Music', 'Geography', 'English']","[2, 5, 3, 2]",0,True,5,0,1,3,N,0,1,0.0
27,"['History', 'Maths']","[3, 2]",0,True,10,0,N,0,N,0,1,0.0
28,['Biology'],[2],0,True,2,1,N,3,N,0,1,0.0
29,"['Physical Education', 'Science', 'History']","[3, 4, 2]",3,True,5,1,1,3,N,0,1,0.0
30,"['Geography', 'Physical Education']","[2, 5]",0,True,8,1,N,1,N,0,1,0.0
31,"['History', 'Foreign Language']","[3, 4]",1,True,2,1,N,1,N,0,1,0.0
32,['Foreign Language'],[2],0,True,6,0,N,0,N,0,1,0.0
33,['Computer Science'],[4],3,True,1,1,N,1,N,0,1,0.0
34,"['Geography', 'Computer Science', 'Literature', 'Physics']","[5, 2, 5, 2]",3,True,6,0,N,1,N,0,1,0.0
35,"['Computer Science', 'History']","[3, 2]",1,True,2,1,1,1,N,0,1,0.0
36,"['Art', 'English']","[4, 3]",0,True,10,0,2,3,N,0,1,0.0
37,['Maths'],[2],1,True,9,0,1,0,S,1,0,4.5
38,['Art'],[3],3,True,1,1,N,1,N,0,1,0.0
39,"['Geography', 'Physics', 'Science']","[4, 2, 4]",0,True,10,1,N,1,N,0,1,0.0
