Student ID,School,Class,Subjects,Time Required,Grades,Social Disadvantage,Accepts Group,Home Help,Equipment,Year,Not Enough Help at Home,Weak student,Critical Year,Matriculation
0,School F,E,"['English', 'Geography', 'Art']","[3, 1, 2]","[5, 0, 2]",3,True,1,0,4,0.5,0,0,N
1,School Y,E,"['English', 'Physical Education']","[2, 2]","[4, 5]",1,True,1,0,5,1.0,0,0,N
2,School B1,B,"['Foreign Language', 'Physical Education']","[2, 2]","[0, 1]",0,True,1,0,7,0.5,0,0,N
3,School A,C,['Art'],[2],[3],2,True,2,0,4,0.5,2,0,N
4,School Y,C,"['English', 'Physical Education', 'Foreign Language', 'Maths']","[1, 3, 1, 1]","[4, 4, 2, 4]",3,True,0,0,7,0.5,0,0,N
5,School V1,C,"['Physical Education', 'History']","[2, 2]","[3, 3]",0,True,0,0,9,0.5,0,0,N
6,School F,A,['Literature'],[3],[5],0,True,0,0,9,1.0,0,0,N
7,School Q1,B,"['Foreign Language', 'Maths', 'History', 'English']","[2, 1, 2, 4]","[4, 5, 4, 3]",0,True,1,0,6,0.5,0,0,N
8,School I,A,['History'],[2],[3],1,True,1,0,8,2.0,0,0,N
9,School E1,B,['Physical Education'],[4],[4],0,True,0,0,12,0.5,0,2,advanced
10,School W,C,['History'],[1],[4],0,True,2,0,6,1.0,0,0,N
11,School T1,C,"['Literature', 'Physical Education']","[2, 1]","[2, 0]",1,True,1,0,9,1.0,0,0,N
12,School F1,A,"['Physical Education', 'English', 'Foreign Language']","[1, 2, 2]","[5, 4, 3]",1,True,1,0,6,0.5,0,0,N
13,School N1,A,"['Maths', 'Computer Science', 'English', 'Physical Education']","[1, 1, 3, 1]","[1, 4, 3, 0]",0,True,1,0,12,0.5,0,2,advanced
14,School I,C,"['Physical Education', 'Maths']","[2, 2]","[0, 3]",0,True,2,0,11,0.5,0,1,basic
15,School Y,A,"['Foreign Language', 'Physical Education']","[4, 2]","[0, 0]",3,True,1,0,6,2.0,1,0,N
16,School Q1,E,['History'],[1],[3],3,True,2,0,11,0.5,1,1,advanced
17,School H1,D,"['Physical Education', 'History', 'Maths', 'English']","[1, 3, 4, 1]","[4, 4, 5, 3]",0,True,1,0,5,1.0,0,0,N
18,School W1,C,"['Geography', 'English']","[2, 1]","[2, 4]",1,True,1,0,4,0.5,2,0,N
19,School Q1,E,"['Art', 'English']","[1, 2]","[0, 1]",0,True,0,0,4,2.0,1,0,N
20,School A2,B,['English'],[3],[3],0,True,0,0,4,0.5,0,0,N
21,School H1,E,['History'],[3],[3],2,True,1,0,11,0.5,0,1,advanced
22,School F1,D,['Physical Education'],[2],[1],0,True,0,0,11,0.5,1,1,N
23,School P1,A,['English'],[1],[2],0,True,2,0,7,0.5,0,0,N
24,School C1,A,"['Physical Education', 'English', 'History']","[3, 3, 2]","[1, 3, 1]",3,True,1,0,12,1.0,0,2,advanced
25,School H1,A,"['Science', 'Maths']","[3, 1]","[0, 2]",2,True,2,0,10,1.0,0,0,N
26,School N1,D,"['History', 'Physical Education', 'Maths', 'English']","[4, 3, 4, 2]","[0, 4, 3, 0]",2,True,1,0,9,0.5,0,0,N
27,School Q1,D,"['History', 'Maths']","[2, 1]","[5, 4]",0,True,0,0,11,1.5,0,1,advanced
28,School O1,B,"['Maths', 'History']","[4, 4]","[1, 1]",3,True,1,0,12,1.0,2,2,advanced
29,School X1,E,['English'],[1],[1],1,True,2,0,9,1.0,1,0,N
