iteration,wg,num_groups,num_individual_tutoring,execution_time
5,0.5,29,46,32.032880783081055
5,0.6,32,41,29.908048152923584
5,0.7,33,41,31.05232524871826
5,0.8,35,40,30.095386028289795
5,0.9,36,38,29.171726942062378
5,1.0,37,36,29.938596963882446
6,0.5,18,55,18.06990385055542
6,0.6,22,51,20.77252697944641
6,0.7,24,49,23.739733934402466
6,0.8,27,45,20.338568925857544
6,0.9,27,45,21.661275148391724
6,1.0,28,42,23.930198907852173
7,0.5,16,61,10.149631261825562
7,0.6,19,58,14.207555055618286
7,0.7,19,58,17.050424098968506
7,0.8,19,58,17.228803873062134
7,0.9,19,58,19.149433851242065
7,1.0,21,54,18.89767599105835
8,0.5,9,57,16.734166145324707
8,0.6,10,56,27.36904811859131
8,0.7,11,55,32.190157890319824
8,0.8,12,54,33.28889799118042
8,0.9,12,54,31.379217863082886
8,1.0,14,48,29.309648036956787
9,0.5,21,52,38.49020981788635
9,0.6,21,50,45.61074495315552
9,0.7,21,48,41.022828102111816
9,0.8,21,48,46.97846603393555
9,0.9,21,48,45.66354274749756
9,1.0,24,43,49.25119090080261
10,0.5,21,52,24.3563392162323
10,0.6,22,49,25.93953013420105
10,0.7,22,49,26.635401964187622
10,0.8,22,49,26.95057725906372
10,0.9,22,49,28.266849994659424
10,1.0,24,44,29.96336007118225
