iteration,wg,num_groups,num_individual_tutoring,execution_time
1,0.5,55,15,642.7361178398132
1,0.6,57,11,1709.720989227295
1,0.7,58,9,431.2309579849243
1,0.8,58,8,711.9800057411194
1,0.9,58,7,1214.6417331695557
1,1.0,58,6,1563.4221699237823
2,0.5,36,21,162.67824983596802
2,0.6,40,16,188.9085988998413
2,0.7,40,16,201.72938895225525
2,0.8,41,14,160.8719391822815
2,0.9,41,14,197.21529006958008
2,1.0,42,12,188.5531530380249
3,0.5,46,20,941.0842869281769
3,0.6,50,12,2885.340602874756
3,0.7,51,10,4137.912592887878
3,0.8,51,10,1128.2988209724426
3,0.9,51,10,2225.909406900406
3,1.0,51,10,1084.4119989871979
4,0.5,47,33,234.32079601287842
4,0.6,55,22,767.5313889980316
4,0.7,57,20,448.0899591445923
4,0.8,60,16,686.1667881011963
4,0.9,60,15,1204.2957491874695
4,1.0,62,11,1104.1681530475616
5,0.5,54,21,1703.1481540203094
5,0.6,58,15,1064.5937309265137
5,0.7,58,15,7283.506949901581
5,0.8,59,13,1084.8104479312897
5,0.9,59,13,5729.789664030075
5,1.0,61,7,1486.3069560527802
6,0.5,47,27,359.43003821372986
6,0.6,49,24,782.83269572258
6,0.7,50,22,1036.314598083496
6,0.8,52,19,1232.2876269817352
6,0.9,52,17,2632.874405145645
6,1.0,54,12,1671.755043745041
7,0.5,54,23,609.4300329685211
7,0.6,58,17,1349.3627359867096
7,0.7,58,17,1031.3508780002594
7,0.8,59,14,806.7732617855072
7,0.9,59,14,1066.1286010742188
7,1.0,61,9,969.9150850772858
8,0.5,38,25,413.9832022190094
8,0.6,44,16,567.3456101417542
8,0.7,44,16,210.4140748977661
8,0.8,44,16,220.5114040374756
8,0.9,47,13,228.32960486412048
8,1.0,47,13,230.79243326187134
9,0.5,42,23,213.29776287078857
9,0.6,46,17,1940.970535993576
9,0.7,49,13,358.82653522491455
9,0.8,49,13,323.86358308792114
9,0.9,49,13,438.7176389694214
9,1.0,50,9,611.6215789318085
10,0.5,38,32,138.728657245636
10,0.6,45,19,170.53530406951904
10,0.7,45,19,209.88498497009277
10,0.8,48,16,292.2606289386749
10,0.9,49,15,273.65044689178467
10,1.0,50,14,1281.9062316417694
